questionId,place,no,category,text,weight,required,isActive
Q054,レディースエリア,4,C,エアコンの羽･フィルター、換気扇等に埃は溜まっていないか,1,TRUE,TRUE
Q055,レディースエリア,5,C,ストレッチエリアの床/壁の境目、四隅に汚れや埃はないか,1,TRUE,TRUE
Q056,レディースエリア,6,Q,ストレッチマット、バランスボール等のツールに穴や劣化や破損はないか、整理整頓されているか,1,TRUE,TRUE
Q057,レディースエリア,7,C,ストレッチマット、バランスボールなどのツールに汚れや埃がはないか,1,TRUE,TRUE
Q058,レディースエリア,8,C,鏡の段差に埃、鏡表面に手垢等の汚れがないか,1,TRUE,TRUE
Q059,レディースエリア,9,Q,ストレッチDVDは最新のDVDが映っているか、音が出ているか,1,TRUE,TRUE
Q060,レディースエリア,10,C,テレビ表面･裏側･上部･DVDデッキ･段差に汚れや埃はないか,1,TRUE,TRUE
Q061,ストレッチ/ファンクショナルエリア,1,C,床と壁の境目、四隅に汚れや埃はないか,1,TRUE,TRUE
Q062,ストレッチ/ファンクショナルエリア,2,Q,ストレッチマット、バランスボール等のツールに穴や劣化や破損はないか、整理整頓されているか,1,TRUE,TRUE
Q063,ストレッチ/ファンクショナルエリア,3,C,ストレッチマット、バランスボールなどのツールに汚れや埃がはないか,1,TRUE,TRUE
Q064,ストレッチ/ファンクショナルエリア,4,C,鏡の段差に埃、鏡表面に手垢等の汚れがないか,1,TRUE,TRUE
Q065,ストレッチ/ファンクショナルエリア,5,Q,ストレッチDVDは最新のDVDが映っているか、音が出ているか,1,TRUE,TRUE
Q066,ストレッチ/ファンクショナルエリア,6,C,テレビ表面･裏側･上部･DVDデッキ･段差に汚れや埃はないか,1,TRUE,TRUE
Q067,FW,1,Q,鏡は割れ等の破損はないか,1,TRUE,TRUE
Q068,FW,2,C,鏡の段差に埃、鏡表面に手垢等の汚れがないか,1,TRUE,TRUE
Q069,FW,3,Q,床（ラバーマット）や壁に劣化や破損はないか,1,TRUE,TRUE
Q070,FW,4,C,床と壁の境目や四隅に埃はないか、汗染み等の汚れがないか,1,TRUE,TRUE
Q071,FW,5,C,マシンやラック上部、裏側、足元等に汚れや埃はないか,1,TRUE,TRUE
Q072,FW,6,Q,マシンや腹筋台等のパットに亀裂や破れがないか,1,TRUE,TRUE
Q073,FW,7,Q,ツール（ベルト、カラー、バーベルパット、ダンベル等）に劣化や破損はないか、整理整頓されているか,1,TRUE,TRUE
Q074,FW,8,C,ツール（ベルト、カラー、バーベルパット、ダンベルラック等）に汚れや埃はないか,1,TRUE,TRUE
Q075,スタジオ,1,C,扉の手垢、ドア枠や段差に埃やゴミが溜まっていないか,1,TRUE,TRUE
Q076,スタジオ,2,Q,スタジオ床や壁に早急に対応するべき破損はないか,1,TRUE,TRUE
Q077,スタジオ,3,C,床と壁の境目や四隅等に埃や汗染み、ゴム汚れがないか,1,TRUE,TRUE
Q078,スタジオ,4,C,鏡の段差に埃、鏡表面に手垢等の汚れがないか,1,TRUE,TRUE
Q079,スタジオ,5,Q,ストレッチマット、ラック、ステップ台等のツールに破損はないか,1,TRUE,TRUE
Q080,スタジオ,6,C,音響設備、ラック、ステップ台下等に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q081,スタジオ,7,Q,ステップ台の積み上げは腰の高さまでに収まっているか,1,TRUE,TRUE
Q082,スタジオ,8,Q,清掃用具はフックで吊るしてあるか（もしくは倉庫内に片付けられているか）,1,TRUE,TRUE
Q083,スタジオ,9,Q,蛍光灯/照明は切れていないか、間引きは適正か,1,TRUE,TRUE
Q084,スタジオ,10,C,蛍光灯/照明内に埃や汚れ、虫の死骸がないか,1,TRUE,TRUE
Q085,スタジオ,11,C,エアコンの羽･フィルター、換気扇等に埃は溜まっていないか,1,TRUE,TRUE
Q086,スタジオ,12,Q,備品倉庫は整理整頓され、TOPＳが取り入れられているか,1,TRUE,TRUE
Q087,スタジオ,13,Q,温湿度計が設置されているか,1,TRUE,TRUE
Q088,HOTスタジオ,1,C,扉の手垢、ドア枠や段差に埃やゴミが溜まっていないか,1,TRUE,TRUE
Q089,HOTスタジオ,2,Q,スタジオ床や壁に早急に対応するべき破損はないか,1,TRUE,TRUE
Q090,HOTスタジオ,3,C,床と壁の境目や四隅等に埃や汗染み、ゴム汚れがないか,1,TRUE,TRUE
Q091,HOTスタジオ,4,C,鏡の段差に埃、鏡表面に手垢等の汚れがないか,1,TRUE,TRUE
Q092,HOTスタジオ,5,Q,温湿度計は設置されているか,1,TRUE,TRUE
Q093,HOTスタジオ,6,C,ストーブ内部、隙間等に汚れや埃はないか,1,TRUE,TRUE
Q094,HOTスタジオ,7,C,ナノフィールのフィルター部分の汚れ、上部や羽に埃はないか,1,TRUE,TRUE
Q095,HOTスタジオ,8,Ｑ,ナノフィールは床・壁に固定されているか,1,TRUE,TRUE
Q096,HOTスタジオ,9,Ｃ,内履き用のシューズ置き場に汚れや埃はないか,1,TRUE,TRUE
Q097,HOTスタジオ,10,Q,清掃用具はフックで吊るしてあるか（もしくは倉庫内に片付けられているか）,1,TRUE,TRUE
Q098,HOTスタジオ,11,C,エアコンの羽･フィルター、換気扇等に埃は溜まっていないか,1,TRUE,TRUE
Q099,HOTスタジオ,12,Q,ストレッチマット、ラック、ステップ台等のツールに破損はないか,1,TRUE,TRUE
Q100,HOTスタジオ,13,C,音響設備、ラック、ステップ台下等に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q101,HOTスタジオ,14,Q,蛍光灯/照明は切れていないか、間引きは適正か,1,TRUE,TRUE
Q102,HOTスタジオ,15,C,蛍光灯/照明内に埃や汚れ、虫の死骸がないか,1,TRUE,TRUE
Q103,HOTスタジオ,16,Q,備品倉庫は整理整頓され、TOPＳが取り入れられているか,1,TRUE,TRUE
Q104,セッションルーム,1,C,扉の手垢、ドア枠や段差に埃やゴミが溜まっていないか,1,TRUE,TRUE
Q105,セッションルーム,2,Q,床・壁は早急に対応するべき破損はないか,1,TRUE,TRUE
Q106,セッションルーム,3,C,床と壁の境目や四隅等に埃や汗染み、ゴム汚れがないか,1,TRUE,TRUE
Q107,セッションルーム,4,C,鏡の段差に埃、鏡表面に手垢等の汚れがないか,1,TRUE,TRUE
Q108,セッションルーム,5,Q,TRX/ストレッチマット/バランスボール等のツ/ルに穴や劣化や破損はないか、整理整頓されているか,1,TRUE,TRUE
Q109,セッションルーム,6,C,TRX/ストレッチマット/バランスボール等のツールに汚れや埃がないか,1,TRUE,TRUE
Q110,セッションルーム,7,Q,清掃用具はフックで吊るしてあるか（もしくは倉庫内に片付けられているか）,1,TRUE,TRUE
Q111,セッションルーム,8,Q,蛍光灯/照明は切れていないか、間引きは適正か,1,TRUE,TRUE
Q112,セッションルーム,9,C,蛍光灯/照明内に埃や汚れ、虫の死骸がないか,1,TRUE,TRUE
Q113,セッションルーム,10,C,エアコンの羽･フィルター、換気扇等に埃は溜まっていないか,1,TRUE,TRUE
Q114,セッションルーム,11,Q,備品倉庫は整理整頓され、TOPＳが取り入れられているか,1,TRUE,TRUE
Q115,セッションルーム,12,Q,温湿度計は設置されているか,1,TRUE,TRUE
Q116,プール,1,C,扉の手垢、ドア枠や段差に埃やゴミが溜まっていないか,1,TRUE,TRUE
Q117,プール,2,Q,プールサイドの床や壁に早急に対応するべき破損はないか,1,TRUE,TRUE
Q118,プール,3,C,プールサイドの床と壁の境目や四隅等に埃や汚れがないか,1,TRUE,TRUE
Q119,プール,4,Q,ビート板/ヘルパー/ブイなどのツールに劣化や破損はないか、整理整頓されているか,1,TRUE,TRUE
Q120,プール,5,C,ビート板/ヘルパー/ブイなどのツールに汚れや埃はないか,1,TRUE,TRUE
Q121,プール,6,C,オーバーフローに汚れやゴミが溜まっていないか、カビやヌメリはないか,1,TRUE,TRUE
Q122,プール,7,Q,サウナ床や壁に早急に対応するべき破損はないか,1,TRUE,TRUE
Q123,プール,8,C,サウナ･採暖室の扉やドア枠や段差に埃やゴミが溜まっていないか,1,TRUE,TRUE
Q124,プール,9,Q,サウナ･採暖室の床や壁に早急に対応するべき破損はないか,1,TRUE,TRUE
Q125,プール,10,C,サウナ･採暖室の床と壁の境目や四隅等に埃や汚れがないか、汗染みなどで汚れていない,1,TRUE,TRUE
Q126,プール,11,Q,プールサイドのジャグジーに早急に対応するべき破損はないか,1,TRUE,TRUE
Q127,プール,12,C,強制シャワー/シャワーブースのカラン部分にカビや水垢はないか、排水溝にぬめりはないか、黒かびは発生していないか,1,TRUE,TRUE
Q128,プール,13,C,手洗い場のシンクやカランにカビや水垢はないか,1,TRUE,TRUE
Q129,プール,14,C,脱水機の裏側･ホース等に汚れや埃が溜まっていないか、内側に水垢が溜まっていないか,1,TRUE,TRUE
Q130,掲示物,1,Q,規定に則った、拾得物の保管期間、最寄警察署が掲示されているか,1,TRUE,TRUE
Q131,掲示物,2,Q,インフォメーションボードの掲示物はサイズや高さが揃っているか、はみ出していないか,1,TRUE,TRUE
Q132,掲示物,3,Q,館内の避難経路図・広域避難場所の案内が掲示されているか,1,TRUE,TRUE
Q133,掲示物,4,Q,掲示物の期限は切れていないか、テープは見えていないか、ラミネートは剥がれていないか,1,TRUE,TRUE
Q134,掲示物,5,Q,ブランドの規定ロゴ・掲示用フレームのサイズ比率は適正か,1,TRUE,TRUE
Q135,掲示物,6,Q,著作権に違反する掲示物はないか（アニメや漫画のキャラクターの手書きイラストもＮＧ）,1,TRUE,TRUE
Q136,掲示物,7,Q,ガラス面へのPOP類の掲示は両面で掲示されているか（裏面が透けた状態ではないか）,1,TRUE,TRUE
Q137,掲示物,8,Q,館内掲示にダンボールや空き箱などが使われていないか,1,TRUE,TRUE
Q138,掲示物,9,Q,壁面ビジュアルやサインに重ねてPOP類を掲示していないか,1,TRUE,TRUE
Q139,館内,1,Ｃ,冷水機の飲み口･排水部分に赤カビや水垢等の汚れはないか,1,TRUE,TRUE
Q140,館内,2,Q,有線放送のチャンネルは１～８、もしくは期間限定チャンネルに設定されているか,1,TRUE,TRUE
Q141,館内,3,Q,お客様の声BOX･用紙･ボールペン、または二次元コードが設置されているか、ボールペンのインクが切れていないか,1,TRUE,TRUE
Q142,館内,4,Q,48時間以内に規定フォーマットで返答されているか、投函日･返答日が記載されているか,1,TRUE,TRUE
Q143,館内,5,Q,避難経路上に避難の妨げになるものが置かれていないか,1,TRUE,TRUE
Q144,館内,6,Q,AED/消火器はカバーが掛けられた状態で設置されているか,1,TRUE,TRUE
Q145,館内,7,Q,消火器の期限は切れていないか,1,TRUE,TRUE
Q146,館内,8,Q,消火器/消火栓、セコムボタン/ポータブルセキュリティなどの前に備品や棚などが置かれていないか,1,TRUE,TRUE
Q147,館内,9,Ｃ,AED、消火器、SECOM緊急ボタン、ポータブルセキュリティ、緊急電話、などに埃や蜘蛛の巣が付いていないか,1,TRUE,TRUE
Q148,館内,10,Ｃ,観葉植物の葉やお皿に汚れや埃が溜まっていないか、枯れていないか,1,TRUE,TRUE
Q149,館内,11,Q,サイネージはしっかり映っているか,1,TRUE,TRUE
Q150,館内,12,Ｃ,サイネージ表面･上部･裏配線等に汚れや埃はないか,1,TRUE,TRUE
Q151,館内,13,Ｃ,扇風機（ロッカールーム以外）の羽･カバー･ケーブル等、加湿空気清浄機の本体･フィルター等に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q152,館内,14,Ｃ,血圧計の腕パット、コード等に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q153,館内,15,Q,アメニティは補充されているか、ティッシュカバーがかけられているか,1,TRUE,TRUE
Q154,館内,16,Q,チラシケース/チラシスタンドや棚などに劣化や破損はないか,1,TRUE,TRUE
Q155,館内,17,C,チラシケース/チラシスタンドや棚などに埃や汚れはないか,1,TRUE,TRUE
Q156,館内,18,Q,ゴミ箱はフタ付きで、ゴミ袋が見えていないか,1,TRUE,TRUE
Q157,館内,19,C,ゴミ箱のフタ等に汚れや埃はないか,1,TRUE,TRUE
Q158,館内,20,C,自動販売機上部やレバー部分に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q159,館内,21,Q,コンセントのプラグカバー、漏電キャップが付いているか、コードはまとめられているか,1,TRUE,TRUE
Q160,館内,22,C,プラグ、コンセントカバー、配線に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q161,館内,23,Q,壁や扉等にテープ跡が残っていないか、壁紙は剥がれていないか,1,TRUE,TRUE
Q162,館内,24,C,館内掲示の表面やイーゼルに埃や汚れ、蜘蛛の巣はないか,1,TRUE,TRUE
Q163,館内,25,C,ドア枠、窓枠、警報機、スイッチカバー等の段差に汚れや埃はないか,1,TRUE,TRUE
Q164,館内,26,C,館内サイン（ブランドロゴ/注意事項など）の表面や上部などに汚れや埃はないか,1,TRUE,TRUE
Q165,館内,27,Q,避難口誘導灯は正常に作動しているか,1,TRUE,TRUE
Q166,館内,28,Q,新聞紙を留める部分等に劣化や破損はないか、テープ等で補強されていないか,1,TRUE,TRUE
Q167,館内,29,C,新聞･雑誌ラックに汚れや埃が溜まっていないか,1,TRUE,TRUE
Q168,館内,30,Q,雑誌に透明カバーがかけられているか,1,TRUE,TRUE
Q169,館内,31,C,テーブルの表面、イスの座面等に汚れや埃はないか,1,TRUE,TRUE
Q170,館内,32,Q,マッサージチェアの座面に亀裂や破れはないか、配線はまとめられているか,1,TRUE,TRUE
Q171,館内,33,C,マッサージチェアの座面･ヘッド･隙間等に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q172,館内,34,C,壁掛け･天吊りテレビの表面、上部、裏配線等に汚れや埃はないか,1,TRUE,TRUE
Q173,館内,35,C,メガネケース内側や底に埃が溜まっていないか、メガネに手垢が付いていないか,1,TRUE,TRUE
Q174,館内,36,C,入会ブースの机やイスに汚れはないか、イスの脚や荷物カゴ等に埃が溜まっていないか,1,TRUE,TRUE
Q175,館内,37,C,イベントや販促のディスプレイ（水素水ボトルやプロテインなど）や展示ブースに汚れや埃はないか,1,TRUE,TRUE
Q176,館内,38,Q,お客様用の救急箱が設置されているか、また定期的に補充･点検をしているか（絆創膏/消毒液/ガーゼ/包帯/三角巾/アイスパックやコールドスプレーは必須設置、ハサミや先端が鋭利なものの常設は✕）,1,TRUE,TRUE
Q177,館内,39,Q,必須防災グッズがリストと共に設置されているか、使用推奨期限などが切れていないか、また定期的に点検をしているか,1,TRUE,TRUE
Q178,館内,40,C,荷物棚の上部･内部に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q179,館内,41,C,EMSスーツやレンタルタオル等の棚に埃や汚れはないか,1,TRUE,TRUE
Q180,館内,42,C,休憩スペースのテレビ表面･上部･裏配線等に汚れや埃はないか,1,TRUE,TRUE
Q181,館内,43,Q,会議室･ミーティングルームの机やイスに破損や劣化はないか,1,TRUE,TRUE
Q182,館内,44,C,会議室･ミーティングルームの机やイスに汚れや埃はないか,1,TRUE,TRUE
Q183,館内,45,Q,会議室･ミーティングルームの床/壁に目立った破損箇所はない,1,TRUE,TRUE
Q184,館内,46,C,会議室･ミーティングルームの壁/四隅/巾木の段差/に埃や髪の毛はないか,1,TRUE,TRUE
Q185,ロッカー,1,Q,ロッカーの鍵･キーバンド･アクセサリートレイ等に破損はないか、スムーズに開くか,1,TRUE,TRUE
Q186,ロッカー,2,C,ロッカー上部･内側の溝･取っ手･アクセサリートレイ等に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q187,ロッカー,3,Q,ロッカー内ハンガーは2本以上設置されているか（木製推奨）,1,TRUE,TRUE
Q188,ロッカー,4,C,契約ロッカーの上部･内側の溝･取っ手に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q189,更衣室/チェンジングルーム,1,Q,更衣室内全体に不快な臭いではないか,1,TRUE,TRUE
Q190,更衣室/チェンジングルーム,2,Q,床/スノコ/壁に目立った破損箇所はない,1,TRUE,TRUE
Q191,更衣室/チェンジングルーム,3,C,壁/四隅/巾木の段差/に埃や髪の毛はないか,1,TRUE,TRUE
Q192,更衣室/チェンジングルーム,4,Q,温湿度計は最低1箇所に設置してあるか,1,TRUE,TRUE
Q193,更衣室/チェンジングルーム,5,Q,室温は25℃±1℃に保たれているか,1,TRUE,TRUE
Q194,更衣室/チェンジングルーム,6,Q,室温はHOTスタジオと温度差を抑えた24～28℃に保たれているか（湿度の目安は40～60％）,1,TRUE,TRUE
Q195,更衣室/チェンジングルーム,7,Q,室温はプールサイドと温度差を抑えた24～28℃に保たれているか（湿度の目安は40～60％）,1,TRUE,TRUE
Q196,更衣室/チェンジングルーム,8,C,エアコンの羽･フィルター、換気扇等に埃は溜まっていないか,1,TRUE,TRUE
Q197,更衣室/チェンジングルーム,9,C,ロッカールーム内の扇風機の羽･カバー･ケーブル等、加湿空気清浄機の本体･フィルター等に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q198,更衣室/チェンジングルーム,10,C,ドライヤーのフィルター、吹き出し口、カゴ内部に汚れや埃が溜まっていないか、,1,TRUE,TRUE
Q199,更衣室/チェンジングルーム,11,C,洗面台の鏡は上部段差に埃、鏡表面に手垢等の汚れがないか,1,TRUE,TRUE
Q200,更衣室/チェンジングルーム,12,C,洗面ボウルに水垢や汚れがないか、洗面台下･パイプに埃が溜まっていないか,1,TRUE,TRUE
Q201,更衣室/チェンジングルーム,13,C,ハンドドライヤー（ジェットタオル）に赤カビ･水垢などの汚れはないか、フィルターに埃が溜まっていないか,1,TRUE,TRUE
Q202,更衣室/チェンジングルーム,14,Q,ハンドソープは補充されているか、JOYFITオリジナルボトルを設置しているか,1,TRUE,TRUE
Q203,更衣室/チェンジングルーム,15,Q,ハンドソープは補充されているか、業態に合ったボトルで設置しているか,1,TRUE,TRUE
Q204,更衣室/チェンジングルーム,16,Q,アメニティは補充されているか、ティッシュカバーがかけられているか,1,TRUE,TRUE
Q205,更衣室/チェンジングルーム,17,Q,清掃用具はフックで吊るしてあるか,1,TRUE,TRUE
Q206,更衣室/チェンジングルーム,18,Q,個室の床/スノコ/壁に目立った破損箇所はない,1,TRUE,TRUE
Q207,更衣室/チェンジングルーム,19,C,個室の壁/四隅/巾木の段差/スノコ下に埃や髪の毛はないか,1,TRUE,TRUE
Q208,更衣室/チェンジングルーム,20,C,個室のコーキングの段差、棚、芳香剤等に汚れや埃はないか,1,TRUE,TRUE
Q209,更衣室/チェンジングルーム,21,C,各所のドア･ドアサッシ･小窓の段差に汚れや埃が溜まっていない,1,TRUE,TRUE
Q210,更衣室/チェンジングルーム,22,Q,イス、靴べら、体重計等に破損や劣化はない,1,TRUE,TRUE
Q211,更衣室/チェンジングルーム,23,C,イス、靴べら、体重計等に汚れや埃はないか,1,TRUE,TRUE
Q212,お風呂,1,C,脱衣所の床やマット、壁の境目や四隅などに埃や髪の毛などの汚れはないか,1,TRUE,TRUE
Q213,お風呂,2,C,脱衣棚の上部や四隅などが汚れていないか、脱衣カゴ内部に汚れはないか,1,TRUE,TRUE
Q214,お風呂,3,C,脱衣所扉の手垢、ドア枠や段差や扉の合わせ目などに埃やゴミが溜まっていないか,1,TRUE,TRUE
Q215,お風呂,4,C,脱衣所全体に不快な臭いではないか,1,TRUE,TRUE
Q216,お風呂,5,C,脱衣所の換気扇、扇風機等に埃や汚れはないか,1,TRUE,TRUE
Q217,お風呂,6,Q,シャンプーボトルはJOYFITオリジナルの指定ボトルを使用しているか、補充されているか,1,TRUE,TRUE
Q218,お風呂,7,C,シャンプーボトルの底にぬめりはないか、ポンプ部分に黒かびや水垢はないか,1,TRUE,TRUE
Q219,お風呂,8,C,カラン部分にカビや水垢はないか,1,TRUE,TRUE
Q220,お風呂,9,C,洗い場の鏡段差、鏡表面に水垢や手垢などの汚れはないか,1,TRUE,TRUE
Q221,お風呂,10,C,シャワールームのカラン部分にカビや水垢はないか、排水溝にぬめりはないか、黒かびは発生していないか,1,TRUE,TRUE
Q222,お風呂,11,Q,シャワーの水が出る時間は13秒±1以内か（もしくは15秒±1）,1,TRUE,TRUE
Q223,お風呂,12,Q,お風呂床に目立った破損箇所はない,1,TRUE,TRUE
Q224,お風呂,13,C,お風呂床に汚れやカビ、ぬめりはないか,1,TRUE,TRUE
Q225,お風呂,14,C,ドレインの排水部分に汚れやカビ、ヌメリはないか,1,TRUE,TRUE
Q226,お風呂,15,C,オーバーフローの排水部分に汚れやカビ、ヌメリはないか,1,TRUE,TRUE
Q227,お風呂,16,Q,サウナ床や壁に早急に対応するべき破損はないか,1,TRUE,TRUE
Q228,お風呂,17,C,サウナ床と壁の境目や四隅等に埃や汚れがないか、汗染みなどで汚れていない,1,TRUE,TRUE
Q229,お風呂,18,C,サウナマットやビート板は汚れていないか,1,TRUE,TRUE
Q230,シャワールーム,1,Q,脱衣スペースの床/スノコ/壁に目立った破損箇所はない,1,TRUE,TRUE
Q231,シャワールーム,2,C,脱衣スペースの壁/四隅/巾木の段差/スノコ下に埃や髪の毛が溜まっていないか,1,TRUE,TRUE
Q232,シャワールーム,3,C,シャワールーム内の床･棚･扉･カラン･ゴムパッキン･排水溝･照明･換気口等に汚れが溜まっていないか,1,TRUE,TRUE
Q233,シャワールーム,4,Q,シャワーの水が出る時間は13秒±1以内か（もしくは15秒±1）,1,TRUE,TRUE
Q234,シャワールーム,5,Q,シャンプーボトルはJOYFITオリジナルの指定ボトルを使用しているか、補充されているか,1,TRUE,TRUE
Q235,シャワールーム,6,C,シャンプーボトルの底にぬめりはないか、ポンプ部分に黒かびや水垢はないか,1,TRUE,TRUE
